Label,Bone Code,Slice,CSA (mm²),X cent. (mm),Y cent. (mm),Density,wX cent. (mm),wY cent. (mm),Theta (rad),R1 (mm),R2 (mm),Imin (mm^4),Imax (mm^4),Ipm (mm^4),Zmax (mm³),Zmin (mm³),Zpol (mm³),Feret Min (mm),Feret Max (mm),Feret Angle (rad),Perimeter (mm),Max Thick 2D (mm),Mean Thick 2D (mm),SD Thick 2D (mm),A (rad),M (rad),IAP(mm^4),IML(mm^4),ZAP(mm³),ZML(mm³),RAP(mm),RML(mm),DAP(mm),DML(mm)
MCZ7283archaeodhippusnanus_mt_bonejtrimmed.tif,10,16,51.939,66.71,54.874,1.8,66.71,54.874,0.061,5.147,6.883,317.387,785.422,0.032,114.109,61.663,160.074,9.303,13.498,3.032,130.332,1.744,0.61,0.422,3.211,4.782,785.388,317.421,114.14,61.626,6.881,5.151,9.358,13.487
MCZ7283archaeodhippusnanus_mt_bonejtrimmed.tif,10,17,49.499,66.747,55.055,1.8,66.747,55.055,0.086,4.939,7.056,305.803,792.772,0.061,112.355,61.922,154.884,9.122,13.755,3.079,155.05,1.472,0.547,0.362,3.211,4.782,792.644,305.931,112.211,62.002,7.064,4.934,9.159,13.754
MCZ7283archaeodhippusnanus_mt_bonejtrimmed.tif,10,18,46.391,66.607,55.264,1.8,66.607,55.264,0.075,4.543,7.016,310.942,750.014,0.043,106.9,68.451,151.121,8.917,13.927,3.063,47.89,1.56,0.522,0.376,3.211,4.782,750.002,310.953,106.88,68.83,7.017,4.518,8.917,13.926
MCZ7283archaeodhippusnanus_mt_bonejtrimmed.tif,10,19,40.16,66.587,55.216,1.8,66.587,55.216,0.057,4.546,6.9,271.222,641.987,0.021,93.039,59.667,132.345,8.864,13.855,3.057,52.144,1.438,0.463,0.355,3.211,4.782,641.922,271.288,93.036,59.668,6.9,4.547,8.864,13.854
MCZ7283archaeodhippusnanus_mt_bonejtrimmed.tif,10,20,37.922,66.608,55.201,1.8,66.608,55.201,0.077,4.725,6.808,247.784,617.871,0.037,90.756,52.445,127.144,8.763,13.644,3.039,43.938,1.324,0.441,0.314,3.211,4.782,617.853,247.801,90.763,52.457,6.807,4.724,8.779,13.637
MCZ7283archaeodhippusnanus_mt_bonejtrimmed.tif,10,21,37.277,66.596,55.237,1.8,66.596,55.237,0.071,4.781,6.689,232.106,630.078,0.031,94.19,48.543,128.688,8.593,13.404,3.043,41.686,1.438,0.531,0.39,3.211,4.782,630.077,232.106,94.195,48.547,6.689,4.781,8.597,13.398
MCZ7283archaeodhippusnanus_mt_bonejtrimmed.tif,10,22,37.392,66.625,55.345,1.8,66.625,55.345,0.074,4.646,6.535,228.471,627.146,0.034,95.97,49.179,130.665,8.429,13.171,2.993,41.721,1.56,0.618,0.429,3.211,4.782,627.14,228.477,95.952,49.223,6.536,4.642,8.429,13.148
MCZ7283archaeodhippusnanus_mt_bonejtrimmed.tif,10,23,38.281,66.617,55.468,1.8,66.617,55.468,0.087,4.552,6.471,232.703,622.662,0.048,96.219,51.125,131.857,8.383,13.004,2.961,37.788,1.658,0.695,0.489,3.211,4.782,622.554,232.811,96.151,51.201,6.475,4.547,8.385,12.987
MCZ7283archaeodhippusnanus_mt_bonejtrimmed.tif,10,24,38.798,66.606,55.47,1.8,66.606,55.47,0.084,4.548,6.482,235.117,614.996,0.045,94.879,51.694,131.059,8.304,12.964,3.021,37.236,1.658,0.775,0.524,3.211,4.782,614.922,235.191,94.827,51.753,6.485,4.544,8.329,12.947
MCZ7283archaeodhippusnanus_mt_bonejtrimmed.tif,10,25,39.394,66.596,55.432,1.8,66.596,55.432,0.088,4.616,6.474,240.378,601.632,0.05,92.924,52.073,129.719,8.257,12.9,2.971,36.16,1.568,0.847,0.505,3.211,4.782,601.518,240.491,92.803,52.037,6.482,4.622,8.281,12.864
