Label,Bone Code,Slice,CSA (mm²),X cent. (mm),Y cent. (mm),Density,wX cent. (mm),wY cent. (mm),Theta (rad),R1 (mm),R2 (mm),Imin (mm^4),Imax (mm^4),Ipm (mm^4),Zmax (mm³),Zmin (mm³),Zpol (mm³),Feret Min (mm),Feret Max (mm),Feret Angle (rad),Perimeter (mm),Max Thick 2D (mm),Mean Thick 2D (mm),SD Thick 2D (mm),A (rad),M (rad),IAP(mm^4),IML(mm^4),ZAP(mm³),ZML(mm³),RAP(mm),RML(mm),DAP(mm),DML(mm)
MCZ6927_mesohippusbarbouri_mt_bonejtrimmed.tif,10,159,49.245,73.545,156.094,1.8,73.545,156.094,-0.5,6.087,6.083,298.378,498.779,1.888,81.994,49.02,123.931,10.069,11.546,0.588,64.918,3.182,2.086,0.961,5.917,1.204,495.205,301.951,84.033,48.957,5.893,6.168,10.482,11.341
MCZ6927_mesohippusbarbouri_mt_bonejtrimmed.tif,10,160,47.937,73.718,156.218,1.8,73.718,156.218,-0.489,5.845,6.026,264.65,505.658,1.76,83.913,45.281,116.771,9.873,11.593,0.238,62.997,3,2.106,0.865,5.917,1.204,502.075,268.233,85.524,45.966,5.871,5.835,9.998,11.496
MCZ6927_mesohippusbarbouri_mt_bonejtrimmed.tif,10,161,49.118,73.776,156.23,1.8,73.776,156.23,-0.484,5.816,6.025,268.025,516.514,1.774,85.73,46.085,116.554,9.792,11.839,0.192,63.795,3.084,2.078,0.914,5.917,1.204,513.084,271.455,87.129,48.362,5.889,5.613,9.828,11.658
MCZ6927_mesohippusbarbouri_mt_bonejtrimmed.tif,10,162,48.063,73.767,156.3,1.8,73.767,156.3,-0.446,5.878,5.973,241.778,517.114,1.488,86.572,41.13,111.815,9.035,11.875,0.15,60.491,2.704,1.725,0.838,5.917,1.204,515.391,243.501,87.65,42.086,5.88,5.786,9.671,11.666
MCZ6927_mesohippusbarbouri_mt_bonejtrimmed.tif,10,163,49.681,73.837,156.317,1.8,73.837,156.317,-0.417,5.793,5.934,251.057,537.692,1.357,90.619,43.335,114.988,9.874,12.011,0.159,60.601,2.856,1.805,0.842,5.917,1.204,536.965,251.784,91.593,42.715,5.862,5.895,9.99,11.786
MCZ6927_mesohippusbarbouri_mt_bonejtrimmed.tif,10,164,51.214,73.798,156.302,1.8,73.798,156.302,-0.396,5.863,6.008,252.441,553.913,1.268,92.189,43.056,118.283,9.823,12.181,0.117,63.157,2.521,1.575,0.688,5.917,1.204,553.656,252.698,92.322,42.58,5.997,5.935,10.041,11.906
MCZ6927_mesohippusbarbouri_mt_bonejtrimmed.tif,10,165,52.424,73.7,156.284,1.8,73.7,156.284,-0.373,5.91,6.061,262.304,540.923,1.159,89.253,44.38,116.152,9.08,12.345,0.145,66.275,2.766,1.646,0.772,5.917,1.204,540.911,262.315,89.313,44.271,6.056,5.925,9.65,12.042
MCZ6927_mesohippusbarbouri_mt_bonejtrimmed.tif,10,166,54.815,73.57,156.239,1.8,73.57,156.239,-0.308,5.863,6.253,272.676,560.382,0.838,89.613,46.51,117.275,9.917,12.607,0.208,71.29,2.419,1.491,0.674,5.917,1.204,559.396,273.662,88.127,47.934,6.348,5.709,9.956,12.45
MCZ6927_mesohippusbarbouri_mt_bonejtrimmed.tif,10,167,54.351,73.426,156.288,1.8,73.426,156.288,-0.264,6.036,6.257,266.833,544.145,0.617,86.964,44.209,113.566,9.681,12.43,0.124,74.268,3,1.534,0.805,5.917,1.204,541.26,269.717,88.984,46.596,6.083,5.788,10.015,12.144
MCZ6927_mesohippusbarbouri_mt_bonejtrimmed.tif,10,168,36.782,71.809,156.818,1.8,71.809,156.818,0.207,6.308,5.649,160.659,246.059,0.259,43.558,25.47,55.163,5.026,10.85,2.865,44.063,3.558,1.814,1.349,5.917,1.204,220.956,185.761,30.564,37.008,7.229,5.019,8.743,8.766
MCZ6927_mesohippusbarbouri_mt_bonejtrimmed.tif,10,169,30.34,70.287,156.653,1.8,70.287,156.653,0.807,3.658,4.894,42.372,161.14,2.635,32.923,11.584,41.246,5.19,9.194,2.614,34.606,3.182,2.184,1.041,5.917,1.204,60.189,143.323,19.089,32.646,3.153,4.39,8.778,6.212
MCZ6927_mesohippusbarbouri_mt_bonejtrimmed.tif,10,170,7.596,68.323,155.906,1.8,68.323,155.906,1.135,1.774,2.423,3.591,7.532,1.041,3.109,2.024,4.556,3.019,4.581,1.942,15.802,2.187,1.442,0.746,5.917,1.204,3.609,7.514,2.031,3.136,1.777,2.396,4.581,3.466
MCZ6927_mesohippusbarbouri_mt_bonejtrimmed.tif,10,171,0.056,67.928,155.366,1.8,67.928,155.366,1.326,0.086,0.122,2.29E-04,4.47E-04,0.009,0.004,0.003,0.006,0.237,0.375,1.893,0.908,0.237,0.237,0,5.917,1.204,2.46E-04,4.30E-04,0.003,0.004,0.083,0.121,0.375,0.306
