 ,Label,Bone Code,Slice,CSA (mm²),X cent. (mm),Y cent. (mm),Density,wX cent. (mm),wY cent. (mm),Theta (rad),R1 (mm),R2 (mm),Imin (mm^4),Imax (mm^4),Ipm (mm^4),Zmax (mm³),Zmin (mm³),Zpol (mm³),Feret Min (mm),Feret Max (mm),Feret Angle (rad),Perimeter (mm),Max Thick 2D (mm),Mean Thick 2D (mm),SD Thick 2D (mm),A (rad),M (rad),IAP(mm^4),IML(mm^4),ZAP(mm³),ZML(mm³),RAP(mm),RML(mm),DAP(mm),DML(mm)
79,AMNH3_8bit_trimmed.tif,0,79,179.370,64.888,47.226,1.800,64.888,47.226,1.114,8.790,9.516,3808.836,4872.036,24.070,511.966,433.321,819.599,16.841,19.289,2.422,64.719,6.736,4.649,1.782,1.361,2.932,4808.169,3872.703,505.665,419.766,9.509,9.226,17.480,18.464
80,AMNH3_8bit_trimmed.tif,0,80,178.480,64.936,47.317,1.800,64.936,47.317,1.180,8.578,9.330,3802.340,4848.493,25.428,519.643,443.270,813.114,16.760,19.251,2.454,62.188,6.850,4.551,1.758,1.361,2.932,4814.472,3836.361,510.220,420.551,9.436,9.122,17.419,18.419
81,AMNH3_8bit_trimmed.tif,0,81,178.286,64.863,47.340,1.800,64.863,47.340,1.145,8.843,9.370,3830.681,4930.670,24.654,526.231,433.205,827.098,16.929,19.302,2.431,65.334,6.692,4.468,1.753,1.361,2.932,4880.237,3881.114,514.702,426.534,9.482,9.099,17.453,18.419
82,AMNH3_8bit_trimmed.tif,0,82,180.341,64.826,47.440,1.800,64.826,47.440,1.120,8.962,9.486,3883.755,4978.966,24.353,524.891,433.341,837.846,16.998,19.269,2.464,67.685,6.658,4.542,1.731,1.361,2.932,4916.501,3946.220,522.009,428.053,9.418,9.219,17.604,18.393
83,AMNH3_8bit_trimmed.tif,0,83,179.386,64.842,47.620,1.800,64.842,47.620,1.225,8.610,9.188,3894.405,4969.872,26.463,540.899,452.334,831.184,16.933,19.302,2.431,69.707,6.850,4.393,1.810,1.361,2.932,4950.044,3914.233,533.200,425.591,9.284,9.197,17.498,18.374
84,AMNH3_8bit_trimmed.tif,0,84,179.337,64.822,47.622,1.800,64.822,47.622,1.245,8.686,9.136,3915.153,4972.949,26.826,544.341,450.730,840.452,16.857,19.251,2.454,70.216,6.521,4.282,1.663,1.361,2.932,4958.720,3929.381,529.501,428.166,9.365,9.177,17.445,18.400
85,AMNH3_8bit_trimmed.tif,0,85,173.771,64.954,47.630,1.800,64.954,47.630,1.228,8.682,9.117,3735.675,4862.246,25.683,533.301,430.277,807.455,16.767,19.234,2.445,65.619,6.521,4.339,1.720,1.361,2.932,4842.262,3755.659,516.058,404.775,9.383,9.278,17.419,18.408
86,AMNH3_8bit_trimmed.tif,0,86,177.234,64.940,47.707,1.800,64.940,47.707,1.235,8.806,9.110,3809.261,4931.015,26.324,541.267,432.554,818.425,16.894,19.269,2.464,66.624,6.605,4.341,1.732,1.361,2.932,4913.130,3827.146,525.130,417.028,9.356,9.177,17.347,18.419
87,AMNH3_8bit_trimmed.tif,0,87,178.609,64.951,47.731,1.800,64.951,47.731,1.228,8.874,9.092,3814.133,4976.758,26.413,547.363,429.799,821.444,16.909,19.316,2.440,66.655,6.614,4.468,1.708,1.361,2.932,4956.384,3834.507,528.226,420.003,9.383,9.130,17.294,18.427
88,AMNH3_8bit_trimmed.tif,0,88,179.774,64.968,47.757,1.800,64.968,47.757,1.223,9.024,9.105,3808.475,4996.912,26.474,548.812,422.059,823.144,16.983,19.335,2.492,65.110,6.614,4.622,1.721,1.361,2.932,4974.228,3831.159,530.316,416.681,9.380,9.194,17.347,18.408
89,AMNH3_8bit_trimmed.tif,0,89,178.496,64.991,47.853,1.800,64.991,47.853,1.246,8.806,9.119,3812.293,4978.074,26.725,545.901,432.938,821.561,16.865,19.390,2.477,69.800,6.541,4.461,1.708,1.361,2.932,4962.755,3827.612,530.612,418.613,9.353,9.144,17.294,18.453
90,AMNH3_8bit_trimmed.tif,0,90,179.078,64.958,47.947,1.800,64.958,47.947,1.241,8.964,9.161,3866.073,5054.467,26.721,551.726,431.287,831.947,16.978,19.436,2.495,81.053,6.619,4.416,1.756,1.361,2.932,5037.463,3883.077,539.375,426.211,9.339,9.111,17.332,18.480
91,AMNH3_8bit_trimmed.tif,0,91,180.373,64.931,47.967,1.800,64.931,47.967,1.193,9.014,9.238,3919.292,5052.632,25.980,546.966,434.807,840.435,17.018,19.468,2.472,80.079,6.619,4.444,1.731,1.361,2.932,5021.013,3950.910,533.862,425.562,9.405,9.284,17.535,18.525
92,AMNH3_8bit_trimmed.tif,0,92,144.211,63.873,47.612,1.800,63.873,47.612,1.385,9.178,10.061,3142.949,4401.528,23.217,437.498,342.443,704.942,17.105,19.360,1.284,96.762,4.677,2.865,1.179,1.361,2.932,4400.802,3143.675,439.333,343.198,10.017,9.160,17.562,18.525
93,AMNH3_8bit_trimmed.tif,0,93,169.872,65.037,47.717,1.800,65.037,47.717,0.934,10.005,9.911,3663.348,4637.691,18.303,467.956,366.155,754.222,14.391,19.390,2.477,61.194,6.541,4.384,1.742,1.361,2.932,4470.397,3830.642,460.050,412.411,9.717,9.288,17.483,18.183
94,AMNH3_8bit_trimmed.tif,0,94,174.435,65.079,47.930,1.800,65.079,47.930,1.086,9.924,9.545,3821.995,4874.996,22.747,510.741,385.125,806.125,17.261,19.390,2.477,127.514,6.153,4.205,1.652,1.361,2.932,4796.962,3900.029,502.123,418.834,9.553,9.312,17.483,18.498
95,AMNH3_8bit_trimmed.tif,0,95,171.798,65.212,48.036,1.800,65.212,48.036,1.174,9.691,9.252,3719.633,4790.836,24.363,517.808,383.841,784.485,17.120,19.396,1.278,63.944,6.360,4.449,1.710,1.361,2.932,4753.855,3756.614,503.126,406.458,9.449,9.242,17.279,18.427
96,AMNH3_8bit_trimmed.tif,0,96,163.400,65.657,48.407,1.800,65.657,48.407,-1.533,10.465,9.891,3294.027,4352.283,27.194,440.038,314.758,688.536,16.464,19.433,1.272,115.349,6.360,4.494,1.871,1.361,2.932,4288.719,3357.591,462.376,354.308,9.275,9.476,16.551,18.464
97,AMNH3_8bit_trimmed.tif,0,97,170.503,65.333,48.096,1.800,65.333,48.096,1.210,9.356,9.191,3613.522,4691.249,24.869,510.444,386.244,754.289,16.994,19.474,1.224,64.267,6.360,4.635,1.771,1.361,2.932,4666.685,3638.086,494.554,385.889,9.436,9.428,17.430,18.464
98,AMNH3_8bit_trimmed.tif,0,98,168.141,65.366,48.108,1.800,65.366,48.108,1.184,9.522,9.277,3567.997,4634.003,24.037,499.512,374.711,743.841,16.957,19.482,1.286,123.948,6.360,4.575,1.769,1.361,2.932,4600.907,3601.093,488.574,381.061,9.417,9.450,17.377,18.445
99,AMNH3_8bit_trimmed.tif,0,99,166.685,65.394,48.067,1.800,65.394,48.067,1.145,9.775,9.370,3493.471,4659.814,23.036,497.338,357.405,732.796,3.035,8.411,1.510,22.149,6.294,4.526,1.711,1.361,2.932,4606.008,3547.277,484.582,375.001,9.505,9.459,3.039,8.299
100,AMNH3_8bit_trimmed.tif,0,100,163.303,65.554,48.170,1.800,65.554,48.170,1.222,9.598,9.227,3396.528,4623.078,24.037,501.022,353.873,711.825,2.869,8.030,1.507,21.969,6.294,4.586,1.791,1.361,2.932,4599.442,3420.164,488.464,361.884,9.416,9.451,2.942,8.013
101,AMNH3_8bit_trimmed.tif,0,101,161.426,65.563,48.113,1.800,65.563,48.113,1.159,9.902,9.368,3377.190,4543.445,22.604,484.972,341.067,702.914,3.202,8.948,1.471,24.127,6.283,4.577,1.788,1.361,2.932,4496.621,3424.014,472.608,362.519,9.514,9.445,3.319,8.762
102,AMNH3_8bit_trimmed.tif,0,102,162.688,65.570,48.169,1.800,65.570,48.169,1.183,9.787,9.326,3374.657,4589.494,23.243,492.128,344.818,706.420,16.917,19.555,1.274,125.163,6.047,4.505,1.726,1.361,2.932,4551.430,3412.722,479.441,362.518,9.493,9.414,17.192,18.498
103,AMNH3_8bit_trimmed.tif,0,103,165.730,65.584,48.284,1.800,65.584,48.284,1.234,9.573,9.268,3405.071,4685.865,24.610,505.579,355.706,720.520,17.007,19.569,1.294,123.773,6.486,4.714,1.840,1.361,2.932,4665.329,3425.607,495.134,362.239,9.422,9.457,17.297,18.536
104,AMNH3_8bit_trimmed.tif,0,104,165.876,65.568,48.256,1.800,65.568,48.256,1.199,9.731,9.328,3398.256,4694.836,23.999,503.293,349.233,722.322,16.929,19.555,1.274,123.650,6.486,4.705,1.842,1.361,2.932,4661.038,3432.054,488.977,363.296,9.532,9.447,17.245,18.604
105,AMNH3_8bit_trimmed.tif,0,105,163.465,65.670,48.293,1.800,65.670,48.293,1.211,9.759,9.339,3342.983,4608.712,23.868,493.502,342.547,705.827,2.828,8.665,1.630,23.110,6.521,4.728,1.880,1.361,2.932,4580.382,3371.313,481.102,352.716,9.521,9.558,2.863,8.601
106,AMNH3_8bit_trimmed.tif,0,106,165.633,65.667,48.385,1.800,65.667,48.385,1.236,9.610,9.350,3348.571,4754.372,24.623,508.480,348.451,720.629,2.735,8.361,1.801,21.894,6.605,4.738,1.889,1.361,2.932,4732.404,3370.539,499.023,355.152,9.483,9.490,2.791,8.360
107,AMNH3_8bit_trimmed.tif,0,107,164.775,65.693,48.361,1.800,65.693,48.361,1.208,9.767,9.402,3316.174,4704.778,24.013,500.402,339.516,711.364,2.732,8.411,1.631,21.789,6.541,4.776,1.872,1.361,2.932,4672.632,3348.320,490.401,352.669,9.528,9.494,2.737,8.378
108,AMNH3_8bit_trimmed.tif,0,108,163.675,65.794,48.478,1.800,65.794,48.478,1.275,9.476,9.389,3223.954,4685.003,24.965,498.997,340.219,696.107,16.890,19.604,1.288,92.406,6.541,4.773,1.903,1.361,2.932,4674.228,3234.729,495.287,340.571,9.437,9.498,17.147,18.774
109,AMNH3_8bit_trimmed.tif,0,109,161.620,65.841,48.450,1.800,65.841,48.450,1.260,9.601,9.401,3162.393,4708.136,24.417,500.834,329.372,691.262,16.879,19.631,1.261,118.402,6.406,4.668,1.851,1.361,2.932,4692.346,3178.183,493.502,335.608,9.508,9.470,17.094,18.819
110,AMNH3_8bit_trimmed.tif,0,110,163.789,65.777,48.436,1.800,65.777,48.436,1.243,9.581,9.368,3246.003,4677.753,24.471,499.352,338.780,694.612,2.666,8.442,1.676,21.491,6.614,4.764,1.962,1.361,2.932,4657.873,3265.883,487.143,349.728,9.562,9.338,2.666,8.397
111,AMNH3_8bit_trimmed.tif,0,111,167.526,65.686,48.488,1.800,65.686,48.488,1.234,9.527,9.418,3335.340,4836.324,24.866,513.508,350.091,717.476,3.959,10.157,1.956,26.975,6.658,4.784,1.910,1.361,2.932,4812.020,3359.644,502.559,366.769,9.575,9.160,4.366,10.000
112,AMNH3_8bit_trimmed.tif,0,112,166.830,65.694,48.463,1.800,65.694,48.463,1.223,9.560,9.428,3333.800,4830.122,24.574,512.299,348.720,715.157,2.676,8.658,1.748,22.285,6.658,4.693,1.923,1.361,2.932,4801.681,3362.240,498.905,365.486,9.624,9.199,2.693,8.654
113,AMNH3_8bit_trimmed.tif,0,113,167.235,65.756,48.645,1.800,65.756,48.645,1.288,9.139,9.444,3319.729,4792.909,25.708,507.494,363.233,719.077,16.761,19.640,1.282,120.684,6.658,4.687,1.954,1.361,2.932,4785.110,3327.528,504.420,360.828,9.486,9.222,17.041,18.943
114,AMNH3_8bit_trimmed.tif,0,114,162.106,65.934,48.602,1.800,65.934,48.602,1.291,9.274,9.445,3166.129,4642.312,24.955,491.533,341.394,684.301,2.796,8.822,1.672,23.215,6.850,4.887,2.020,1.361,2.932,4635.010,3173.431,485.657,340.958,9.544,9.307,2.854,8.770
115,AMNH3_8bit_trimmed.tif,0,115,161.248,65.963,48.617,1.800,65.963,48.617,1.275,9.464,9.475,3172.655,4585.158,24.599,483.929,335.249,680.248,3.366,10.056,1.893,25.716,6.692,4.805,1.963,1.361,2.932,4574.801,3183.011,479.049,341.074,9.550,9.332,3.638,9.993
116,AMNH3_8bit_trimmed.tif,0,116,161.750,65.994,48.713,1.800,65.994,48.713,1.307,9.395,9.455,3188.560,4587.506,25.121,485.172,339.394,681.392,16.896,19.657,1.302,123.097,6.692,4.833,1.989,1.361,2.932,4583.349,3192.717,481.404,340.110,9.521,9.387,17.059,18.996
117,AMNH3_8bit_trimmed.tif,0,117,160.278,66.036,48.652,1.800,66.036,48.652,1.290,9.609,9.436,3173.521,4536.551,24.657,480.794,330.275,673.452,3.035,9.708,1.946,24.636,6.788,4.870,2.007,1.361,2.932,4529.591,3180.481,471.894,336.853,9.599,9.442,3.238,9.574
118,AMNH3_8bit_trimmed.tif,0,118,161.410,66.017,48.713,1.800,66.017,48.713,1.311,9.558,9.441,3196.205,4583.304,25.127,485.479,334.391,678.110,16.981,19.657,1.302,122.570,6.788,4.698,2.076,1.361,2.932,4579.814,3199.694,478.985,343.609,9.562,9.312,16.988,19.022
119,AMNH3_8bit_trimmed.tif,0,119,159.566,66.092,48.671,1.800,66.092,48.671,1.290,9.567,9.504,3122.484,4527.923,24.556,476.447,326.388,666.834,2.731,9.317,1.819,23.557,6.944,4.871,2.080,1.361,2.932,4520.862,3129.545,470.272,335.974,9.613,9.315,2.776,9.310
120,AMNH3_8bit_trimmed.tif,0,120,160.941,66.102,48.772,1.800,66.102,48.772,1.344,9.222,9.463,3156.181,4569.496,25.470,482.891,342.248,669.786,3.024,10.064,1.853,26.479,6.944,4.760,2.213,1.361,2.932,4569.087,3156.590,479.924,344.592,9.520,9.160,3.166,10.038
121,AMNH3_8bit_trimmed.tif,0,121,159.905,66.165,48.689,1.800,66.165,48.689,1.291,9.506,9.487,3081.015,4524.721,24.619,476.938,324.126,659.879,2.761,9.317,1.819,23.706,6.999,4.835,2.163,1.361,2.932,4517.626,3088.110,470.771,336.152,9.596,9.187,2.801,9.310
122,AMNH3_8bit_trimmed.tif,0,122,159.841,66.189,48.729,1.800,66.189,48.729,1.308,9.484,9.452,3078.480,4502.584,24.840,476.348,324.599,656.561,16.774,19.640,1.282,119.810,6.986,4.788,2.161,1.361,2.932,4498.526,3082.538,470.050,335.359,9.570,9.192,16.774,19.030
123,AMNH3_8bit_trimmed.tif,0,123,156.750,66.304,48.792,1.800,66.304,48.792,1.333,9.447,9.471,3029.715,4468.575,24.676,471.814,320.718,645.902,2.747,9.687,1.809,23.991,6.888,4.822,2.091,1.361,2.932,4467.433,3030.857,469.678,325.844,9.512,9.302,2.801,9.683
124,AMNH3_8bit_trimmed.tif,0,124,155.909,66.346,48.785,1.800,66.346,48.785,1.334,9.451,9.472,3005.151,4479.523,24.552,472.908,317.960,642.968,2.816,9.543,1.939,23.588,6.888,4.727,2.161,1.361,2.932,4478.409,3006.265,468.703,322.645,9.555,9.318,3.070,9.423
125,AMNH3_8bit_trimmed.tif,0,125,152.220,66.469,48.675,1.800,66.469,48.675,1.286,9.779,9.523,2883.350,4383.777,23.365,460.353,294.866,621.781,2.701,9.751,1.835,24.891,6.850,4.781,2.186,1.361,2.932,4375.264,2891.863,451.902,307.403,9.682,9.407,2.972,9.736
126,AMNH3_8bit_trimmed.tif,0,126,154.841,66.493,48.791,1.800,66.493,48.791,1.309,9.363,9.588,2915.725,4473.686,24.075,466.604,311.393,628.290,16.614,19.688,1.349,122.732,6.911,4.796,2.175,1.361,2.932,4469.400,2920.011,465.666,311.297,9.598,9.380,16.803,19.181
127,AMNH3_8bit_trimmed.tif,0,127,154.841,66.498,48.774,1.800,66.498,48.774,1.288,9.576,9.656,2902.798,4453.747,23.791,461.226,303.126,625.324,16.599,19.716,2.498,122.943,6.874,4.871,2.139,1.361,2.932,4445.335,2911.210,461.543,310.946,9.631,9.362,16.705,19.200
128,AMNH3_8bit_trimmed.tif,0,128,154.954,66.464,48.748,1.800,66.464,48.748,1.280,9.544,9.648,2954.559,4461.720,23.696,462.433,309.570,633.132,16.627,19.747,2.475,91.042,6.736,4.806,2.072,1.361,2.932,4451.673,2964.606,460.638,318.229,9.664,9.316,16.739,19.181
129,AMNH3_8bit_trimmed.tif,0,129,153.175,66.537,48.787,1.800,66.537,48.787,1.304,9.469,9.611,2924.510,4423.852,23.751,460.299,308.853,624.681,16.628,19.726,2.530,122.136,6.716,4.787,2.046,1.361,2.932,4418.896,2929.466,458.499,314.999,9.638,9.300,16.705,19.208
130,AMNH3_8bit_trimmed.tif,0,130,149.437,66.613,48.719,1.800,66.613,48.719,1.287,9.586,9.639,2904.234,4279.860,22.947,444.014,302.981,609.227,2.764,9.844,2.011,24.202,6.678,4.722,2.069,1.361,2.932,4272.197,2911.896,438.937,310.147,9.733,9.389,3.141,9.627
131,AMNH3_8bit_trimmed.tif,0,131,152.980,66.606,48.679,1.800,66.606,48.679,1.264,9.586,9.675,2880.951,4429.271,23.171,457.797,300.536,623.378,16.495,19.808,2.402,121.876,6.692,4.795,2.064,1.361,2.932,4414.664,2895.558,451.324,310.119,9.782,9.337,16.671,19.260
132,AMNH3_8bit_trimmed.tif,0,132,152.333,66.649,48.661,1.800,66.649,48.661,1.261,9.808,9.681,2874.239,4435.305,23.028,458.139,293.059,621.023,16.615,19.870,2.488,119.810,6.692,4.529,2.072,1.361,2.932,4419.645,2889.899,450.578,308.012,9.809,9.382,16.678,19.298
133,AMNH3_8bit_trimmed.tif,0,133,153.806,66.596,48.816,1.800,66.596,48.816,1.293,9.577,9.704,3023.419,4458.190,23.707,459.400,315.693,634.252,2.801,10.381,1.869,25.654,6.605,4.637,2.026,1.361,2.932,4451.534,3030.074,459.172,326.795,9.695,9.272,3.186,10.340
134,AMNH3_8bit_trimmed.tif,0,134,153.903,66.605,48.813,1.800,66.605,48.813,1.305,9.499,9.662,3040.834,4397.545,23.878,455.138,320.128,629.842,3.033,11.480,1.840,28.365,6.605,4.588,2.064,1.361,2.932,4393.234,3045.144,452.251,329.024,9.714,9.255,3.409,11.459
135,AMNH3_8bit_trimmed.tif,0,135,153.223,66.591,48.721,1.800,66.591,48.721,1.281,9.529,9.689,3065.576,4380.061,23.457,452.059,321.724,631.140,16.484,19.951,2.270,121.851,6.605,4.575,2.042,1.361,2.932,4371.694,3073.943,446.266,336.449,9.796,9.136,16.546,19.358
136,AMNH3_8bit_trimmed.tif,0,136,151.395,66.724,48.775,1.800,66.724,48.775,1.302,9.427,9.733,2970.055,4444.834,23.456,456.674,315.049,622.306,2.834,10.868,1.856,27.137,6.436,4.573,1.950,1.361,2.932,4439.713,2975.175,454.821,322.393,9.761,9.228,3.160,10.837
137,AMNH3_8bit_trimmed.tif,0,137,151.071,66.784,48.711,1.800,66.784,48.711,1.285,9.525,9.772,2957.088,4432.824,23.172,453.627,310.444,621.413,2.752,10.711,1.847,26.597,6.541,4.636,1.979,1.361,2.932,4424.168,2965.744,448.845,322.260,9.857,9.203,3.088,10.686
138,AMNH3_8bit_trimmed.tif,0,138,151.120,66.798,48.746,1.800,66.798,48.746,1.290,9.498,9.795,2978.459,4517.901,23.246,461.224,313.582,626.588,2.566,9.959,2.006,24.364,6.360,4.555,1.865,1.361,2.932,4509.999,2986.360,458.952,325.204,9.827,9.183,2.900,9.797
139,AMNH3_8bit_trimmed.tif,0,139,154.598,66.755,48.785,1.800,66.755,48.785,1.277,9.522,9.926,3053.617,4601.209,23.607,463.552,320.701,638.471,3.082,11.270,1.857,28.005,6.360,4.491,1.855,1.361,2.932,4590.281,3064.545,468.506,337.532,9.798,9.079,3.480,11.237
140,AMNH3_8bit_trimmed.tif,0,140,156.394,66.696,48.767,1.800,66.696,48.767,1.276,9.317,9.959,3092.296,4843.058,23.871,486.322,331.915,663.737,2.897,10.661,1.874,26.417,6.360,4.225,1.789,1.361,2.932,4830.481,3104.872,489.290,345.015,9.872,8.999,3.337,10.615
141,AMNH3_8bit_trimmed.tif,0,141,160.132,66.392,48.943,1.800,66.392,48.943,1.466,9.389,10.176,3440.639,5081.659,26.394,499.398,366.463,724.457,16.380,20.262,2.307,105.473,6.237,4.012,1.830,1.361,2.932,5063.847,3458.451,517.206,400.339,9.791,8.639,16.512,19.660
142,AMNH3_8bit_trimmed.tif,0,142,153.142,66.613,48.774,1.800,66.613,48.774,1.488,9.643,10.384,3282.862,4781.029,25.348,460.407,340.423,684.209,16.361,20.282,2.290,70.992,6.360,4.234,1.955,1.361,2.932,4757.154,3306.736,479.665,377.218,9.918,8.766,16.448,19.694
143,AMNH3_8bit_trimmed.tif,0,143,153.385,66.610,48.668,1.800,66.610,48.668,1.415,9.128,10.215,3299.314,4811.751,24.947,471.043,361.431,690.866,16.236,20.340,2.392,132.826,6.116,4.033,1.856,1.361,2.932,4807.415,3303.650,479.709,378.341,10.022,8.732,16.387,19.747
144,AMNH3_8bit_trimmed.tif,0,144,155.440,66.650,48.662,1.800,66.650,48.662,1.392,8.874,10.160,3305.649,4926.548,25.083,484.887,372.520,698.052,16.222,20.366,2.294,103.613,6.116,4.065,1.841,1.361,2.932,4925.064,3307.134,490.649,382.435,10.038,8.648,16.289,19.811
145,AMNH3_8bit_trimmed.tif,0,145,157.899,66.611,48.705,1.800,66.611,48.705,1.419,8.885,10.225,3395.462,5028.169,25.716,491.756,382.149,715.252,16.274,20.423,2.259,71.098,6.153,3.980,1.856,1.361,2.932,5022.688,3400.944,500.344,395.957,10.038,8.589,16.330,19.925
146,AMNH3_8bit_trimmed.tif,0,146,159.630,66.654,48.581,1.800,66.654,48.581,1.389,8.694,10.264,3428.115,5063.548,25.734,493.324,394.298,727.177,16.319,20.474,2.281,71.185,6.237,4.109,1.830,1.361,2.932,5062.301,3429.362,497.426,394.929,10.177,8.683,16.410,20.020
147,AMNH3_8bit_trimmed.tif,0,147,156.815,66.804,48.538,1.800,66.804,48.538,1.395,8.911,10.324,3366.587,4932.616,25.338,477.797,377.787,706.641,5.164,13.033,1.899,36.727,6.360,4.371,1.960,1.361,2.932,4930.812,3368.391,482.715,379.142,10.215,8.884,6.132,12.942
148,AMNH3_8bit_trimmed.tif,0,148,157.543,66.867,48.567,1.800,66.867,48.567,1.417,9.073,10.355,3411.200,4958.723,25.643,478.857,375.976,706.698,16.488,20.640,2.243,124.351,6.106,4.235,1.886,1.361,2.932,4953.869,3416.055,486.570,379.097,10.181,9.011,16.606,20.223
149,AMNH3_8bit_trimmed.tif,0,149,153.967,67.042,48.506,1.800,67.042,48.506,1.450,9.346,10.505,3290.150,4914.855,25.286,467.877,352.040,688.292,16.622,20.687,2.195,123.421,5.801,4.081,1.791,1.361,2.932,4902.209,3302.797,478.305,357.154,10.249,9.248,16.730,20.366
150,AMNH3_8bit_trimmed.tif,0,150,156.216,67.017,48.397,1.800,67.017,48.397,1.430,9.419,10.521,3383.765,5037.775,25.520,478.838,359.267,710.525,16.805,20.794,2.089,112.173,5.851,4.114,1.832,1.361,2.932,5030.069,3391.471,486.731,362.241,10.334,9.362,16.900,20.464
151,AMNH3_8bit_trimmed.tif,0,151,155.877,67.029,48.343,1.800,67.029,48.343,1.373,9.498,10.446,3420.356,5226.761,24.981,500.340,360.122,733.976,16.874,20.954,2.078,121.144,5.851,4.015,1.682,1.361,2.932,5226.491,3420.626,501.641,360.995,10.419,9.476,17.008,20.597
152,AMNH3_8bit_trimmed.tif,0,152,158.174,67.013,48.340,1.800,67.013,48.340,1.405,9.764,10.620,3589.549,5276.236,25.641,496.812,367.633,756.889,17.172,21.065,1.994,108.426,5.988,4.089,1.677,1.361,2.932,5273.060,3592.725,501.101,369.727,10.523,9.717,17.291,20.811
153,AMNH3_8bit_trimmed.tif,0,153,161.491,66.938,48.342,1.800,66.938,48.342,1.397,9.778,10.697,3769.572,5433.541,26.110,507.964,385.531,799.538,17.335,21.262,1.970,71.748,5.939,3.948,1.669,1.361,2.932,5431.423,3771.690,511.624,385.203,10.616,9.791,17.519,21.034
154,AMNH3_8bit_trimmed.tif,0,154,158.870,67.044,48.254,1.800,67.044,48.254,1.423,10.103,10.880,3820.624,5415.521,25.903,497.743,378.168,808.709,17.670,21.400,1.955,109.909,5.873,3.967,1.653,1.361,2.932,5409.483,3826.661,503.137,376.554,10.752,10.162,17.828,21.248
155,AMNH3_8bit_trimmed.tif,0,155,157.575,67.176,48.189,1.800,67.176,48.189,1.451,10.534,11.020,3894.001,5307.009,25.890,481.566,369.663,809.473,17.914,21.543,1.939,119.314,6.106,4.039,1.686,1.361,2.932,5295.562,3905.448,487.302,371.002,10.867,10.527,18.122,21.471
156,AMNH3_8bit_trimmed.tif,0,156,158.983,67.187,48.147,1.800,67.187,48.147,1.393,10.649,11.016,4007.530,5492.252,25.672,498.565,376.330,845.266,18.137,21.763,1.880,121.175,5.851,3.837,1.656,1.361,2.932,5490.720,4009.063,501.031,375.688,10.959,10.671,18.326,21.674
157,AMNH3_8bit_trimmed.tif,0,157,162.462,67.230,48.122,1.800,67.230,48.122,1.351,11.028,11.076,4068.479,5958.182,25.786,537.923,368.939,886.392,18.336,22.016,1.858,130.151,5.717,3.588,1.674,1.361,2.932,5957.969,4068.693,536.813,369.202,11.099,11.020,18.733,21.968
158,AMNH3_8bit_trimmed.tif,0,158,163.465,67.618,48.340,1.800,67.618,48.340,1.375,11.497,11.141,3792.699,6270.892,26.208,562.875,329.891,840.414,1.830,8.557,1.765,20.412,5.145,3.319,1.514,1.361,2.932,6270.457,3793.134,560.778,329.695,11.182,11.505,2.140,8.556
159,AMNH3_8bit_trimmed.tif,0,159,159.663,67.598,48.164,1.800,67.598,48.164,1.337,11.630,11.293,4015.546,6270.390,25.188,555.234,345.270,842.149,2.098,9.103,1.697,21.311,4.860,3.065,1.335,1.361,2.932,6269.115,4016.822,558.350,345.683,11.228,11.620,2.299,9.072
160,AMNH3_8bit_trimmed.tif,0,160,165.051,67.646,47.856,1.800,67.646,47.856,1.280,12.152,11.362,4124.703,6531.420,25.249,574.842,339.420,861.433,19.124,22.803,1.836,84.700,5.120,2.825,1.438,1.361,2.932,6515.597,4140.526,569.962,342.580,11.432,12.086,19.623,22.786
161,AMNH3_8bit_trimmed.tif,0,161,162.543,67.563,47.602,1.800,67.563,47.602,1.294,12.030,11.606,4255.621,6618.099,25.069,570.222,353.755,888.175,19.320,22.994,1.845,77.733,4.913,2.691,1.349,1.361,2.932,6607.454,4266.267,564.495,354.430,11.705,12.037,19.928,22.945
162,AMNH3_8bit_trimmed.tif,0,162,179.677,67.531,47.388,1.800,67.531,47.388,1.273,12.193,11.853,4562.607,7148.472,27.372,603.091,374.188,929.966,19.399,23.239,1.842,78.887,5.151,2.845,1.539,1.361,2.932,7128.465,4582.614,595.346,368.879,11.974,12.423,20.629,23.194
163,AMNH3_8bit_trimmed.tif,0,163,169.144,67.770,47.190,1.800,67.770,47.190,1.227,13.750,11.911,4604.669,6831.379,24.992,573.545,334.896,828.919,19.454,23.380,1.863,130.956,4.827,2.925,1.565,1.361,2.932,6791.621,4644.427,561.352,337.093,12.099,13.778,21.180,23.318
164,AMNH3_8bit_trimmed.tif,0,164,172.542,67.747,47.084,1.800,67.747,47.084,1.275,13.723,11.847,4823.184,6744.401,26.316,569.306,351.467,842.101,2.444,7.522,1.244,22.290,4.586,2.700,1.501,1.361,2.932,6730.197,4837.388,567.069,352.461,11.868,13.725,4.372,6.597
165,AMNH3_8bit_trimmed.tif,0,165,169.727,68.078,46.925,1.800,68.078,46.925,1.275,13.880,11.933,4320.615,7087.538,25.879,593.942,311.292,821.652,2.242,6.294,1.326,17.600,4.070,2.440,1.295,1.361,2.932,7066.830,4341.323,584.486,313.247,12.091,13.859,3.131,5.734
