 ,Label,Bone Code,Slice,CSA (mm²),X cent. (mm),Y cent. (mm),Density,wX cent. (mm),wY cent. (mm),Theta (rad),R1 (mm),R2 (mm),Imin (mm^4),Imax (mm^4),Ipm (mm^4),Zmax (mm³),Zmin (mm³),Zpol (mm³),Feret Min (mm),Feret Max (mm),Feret Angle (rad),Perimeter (mm),Max Thick 2D (mm),Mean Thick 2D (mm),SD Thick 2D (mm),A (rad),M (rad),IAP(mm^4),IML(mm^4),ZAP(mm³),ZML(mm³),RAP(mm),RML(mm),DAP(mm),DML(mm)
17,AMNH3_8bit_trimmed.tif,0,17,122.190,64.579,42.764,1.800,64.579,42.764,1.273,9.190,12.660,2591.542,6856.233,18.613,541.555,282.008,740.492,15.831,24.159,1.799,138.814,3.317,2.067,0.873,1.361,2.932,6823.129,2624.647,535.127,288.458,12.750,9.099,16.019,24.155
18,AMNH3_8bit_trimmed.tif,0,18,132.513,64.361,43.253,1.800,64.361,43.253,1.311,8.116,12.360,2703.986,6976.324,20.627,564.430,333.163,782.508,15.486,23.819,1.830,67.138,3.571,2.421,0.832,1.361,2.932,6965.468,2714.842,563.073,326.602,12.370,8.312,15.699,23.808
19,AMNH3_8bit_trimmed.tif,0,19,131.526,64.434,43.343,1.800,64.434,43.343,1.293,7.713,12.364,2571.182,6662.151,20.267,538.822,333.351,745.107,14.996,23.675,1.848,65.624,3.883,2.493,0.910,1.361,2.932,6642.843,2590.491,536.062,319.151,12.392,8.117,15.450,23.639
20,AMNH3_8bit_trimmed.tif,0,20,128.096,64.576,43.439,1.800,64.576,43.439,1.287,7.616,12.228,2436.337,6353.896,19.676,519.637,319.905,716.471,14.683,23.484,1.839,64.080,3.562,2.525,0.807,1.361,2.932,6332.348,2457.885,516.150,305.714,12.268,8.040,15.238,23.443
21,AMNH3_8bit_trimmed.tif,0,21,128.209,64.665,43.561,1.800,64.665,43.561,1.296,7.436,12.041,2376.271,6160.863,19.790,511.663,319.572,707.908,14.506,23.273,1.848,63.000,4.234,2.760,0.963,1.361,2.932,6144.534,2392.600,509.536,307.525,12.059,7.780,14.933,23.220
22,AMNH3_8bit_trimmed.tif,0,22,126.348,64.662,43.668,1.800,64.662,43.668,1.293,7.393,11.955,2314.979,5997.002,19.479,501.630,313.145,692.503,14.438,23.205,1.837,62.672,4.110,2.814,0.842,1.361,2.932,5980.033,2331.947,498.332,300.681,12.000,7.756,14.971,23.167
23,AMNH3_8bit_trimmed.tif,0,23,125.167,64.728,43.665,1.800,64.728,43.665,1.290,7.353,11.746,2212.210,5886.305,19.261,501.137,300.844,688.176,14.317,22.931,1.875,119.993,3.883,2.717,0.841,1.361,2.932,5867.751,2230.764,498.653,288.842,11.767,7.723,14.881,22.866
24,AMNH3_8bit_trimmed.tif,0,24,127.481,64.789,43.768,1.800,64.789,43.768,1.289,7.360,11.610,2230.420,5888.436,19.601,507.196,303.059,694.298,14.332,22.770,1.831,61.579,4.450,3.003,0.957,1.361,2.932,5869.218,2249.638,502.833,291.550,11.672,7.716,14.888,22.760
25,AMNH3_8bit_trimmed.tif,0,25,129.649,64.791,43.706,1.800,64.791,43.706,1.277,7.282,11.656,2229.209,5861.238,19.793,502.856,306.108,690.543,14.276,22.647,1.832,114.918,4.508,3.092,0.985,1.361,2.932,5835.303,2255.145,498.130,293.429,11.714,7.685,14.888,22.617
26,AMNH3_8bit_trimmed.tif,0,26,131.364,64.851,43.722,1.800,64.851,43.722,1.269,7.212,11.491,2247.346,5767.901,19.958,501.946,311.624,693.151,14.291,22.469,1.846,112.828,4.355,3.050,0.893,1.361,2.932,5737.908,2277.338,496.303,297.953,11.561,7.643,14.870,22.421
27,AMNH3_8bit_trimmed.tif,0,27,131.461,64.879,43.752,1.800,64.879,43.752,1.270,7.190,11.289,2224.129,5670.362,19.991,502.301,309.332,696.730,14.320,22.260,1.855,112.438,4.317,3.098,0.904,1.361,2.932,5641.911,2252.580,497.934,295.963,11.331,7.611,14.835,22.198
