Label,Bone Code,Slice,CSA (mm²),X cent. (mm),Y cent. (mm),Density,wX cent. (mm),wY cent. (mm),Theta (rad),R1 (mm),R2 (mm),Imin (mm^4),Imax (mm^4),Ipm (mm^4),Zmax (mm³),Zmin (mm³),Zpol (mm³),Feret Min (mm),Feret Max (mm),Feret Angle (rad),Perimeter (mm),Max Thick 2D (mm),Mean Thick 2D (mm),SD Thick 2D (mm),A (rad),M (rad),IAP(mm^4),IML(mm^4),ZAP(mm³),ZML(mm³),RAP(mm),RML(mm),DAP(mm),DML(mm)
MCZ6927mesohippusbarbouri_3digits_bonejtrimmed.tif,5,16,63.785,56.157,39.542,1.8,56.157,39.542,-0.596,5.417,7.084,274.525,920.023,3.347,129.869,50.676,155.549,7.784,10.656,3.046,57.431,2.034,0.893,0.59,5.445,0.733,882.936,311.611,118.63,57.863,7.443,5.385,9.153,9.497
MCZ6927mesohippusbarbouri_3digits_bonejtrimmed.tif,5,17,57.932,55.932,39.557,1.8,55.932,39.557,-0.603,5.082,7.071,237.498,860.919,3.11,121.761,46.732,143.182,7.487,10.299,3.119,66.591,1.986,0.774,0.574,5.445,0.733,827.328,271.09,109.796,53.196,7.535,5.096,8.881,9.201
MCZ6927mesohippusbarbouri_3digits_bonejtrimmed.tif,5,18,51.945,55.75,39.503,1.8,55.75,39.503,-0.623,5.245,7.342,216.554,801.499,2.951,109.161,41.29,132.766,7.328,10.099,0.085,78.611,1.68,0.635,0.444,5.445,0.733,775.041,243.012,101.45,46.132,7.64,5.268,8.638,8.818
MCZ6927mesohippusbarbouri_3digits_bonejtrimmed.tif,5,19,45.332,55.497,39.71,1.8,55.497,39.71,-0.592,5.037,7.596,175.147,681.324,2.355,89.695,34.77,108.077,5.468,9.917,0.134,71.224,1.779,0.628,0.438,5.445,0.733,651.447,205.024,82.41,40.319,7.905,5.085,8.534,7.839
MCZ6927mesohippusbarbouri_3digits_bonejtrimmed.tif,5,20,42.144,55.226,39.801,1.8,55.226,39.801,-0.565,4.491,7.407,153.355,599.338,2.015,80.916,34.146,96.657,5.769,9.675,0.129,60.105,1.68,0.666,0.454,5.445,0.733,567.045,185.648,72.963,41.405,7.772,4.484,8.447,7.758
MCZ6927mesohippusbarbouri_3digits_bonejtrimmed.tif,5,21,39.868,54.792,39.894,1.8,54.792,39.894,-0.556,4.231,8.062,145.923,523.431,1.853,64.927,34.491,80.342,6.779,9.797,0.16,59.629,1.723,0.668,0.493,5.445,0.733,494.325,175.029,59.354,40.511,8.328,4.321,8.522,8.123
MCZ6927mesohippusbarbouri_3digits_bonejtrimmed.tif,5,22,39.394,54.639,39.791,1.8,54.639,39.791,-0.578,3.953,8.326,145.92,496.381,1.963,59.618,36.91,74.753,7.739,9.607,0.188,83.679,1.878,0.728,0.565,5.445,0.733,473.346,168.954,55.092,42.751,8.592,3.952,8.006,9.439
MCZ6927mesohippusbarbouri_3digits_bonejtrimmed.tif,5,23,40.751,54.67,39.508,1.8,54.67,39.508,-0.658,3.708,8.448,145.106,549.475,2.541,65.045,39.135,80.78,7.358,9.653,0.212,63.707,1.779,0.685,0.465,5.445,0.733,536.58,158.001,62.406,41.443,8.598,3.813,7.56,8.714
MCZ6927mesohippusbarbouri_3digits_bonejtrimmed.tif,5,24,39.698,54.564,39.42,1.8,54.564,39.42,-0.664,3.586,8.465,136.509,558.922,2.512,66.028,38.07,81.319,6.992,9.679,0.86,75.948,2.303,0.758,0.602,5.445,0.733,546.285,149.146,63.879,40.269,8.552,3.704,7.253,9.676
MCZ6927mesohippusbarbouri_3digits_bonejtrimmed.tif,5,25,38.798,54.525,39.282,1.8,54.525,39.282,-0.675,3.475,8.421,128.978,558.222,2.527,66.29,37.119,81.132,6.685,9.66,0.745,73.228,2.093,0.748,0.536,5.445,0.733,546.986,140.214,64.675,38.829,8.458,3.611,6.951,9.624
MCZ6927mesohippusbarbouri_3digits_bonejtrimmed.tif,5,26,36.559,54.528,39.186,1.8,54.528,39.186,-0.675,3.402,8.224,115.022,553.636,2.377,67.317,33.809,81.119,6.491,9.781,0.233,79.311,2.028,0.706,0.507,5.445,0.733,542.06,126.598,65.834,35.092,8.234,3.608,6.719,8.697
MCZ6927mesohippusbarbouri_3digits_bonejtrimmed.tif,5,27,34.855,54.397,39.214,1.8,54.397,39.214,-0.661,3.362,8.289,99.379,515.447,2.191,62.185,29.562,74.016,2.063,8.299,0.645,35.309,1.536,0.668,0.425,5.445,0.733,502.613,112.214,60.672,31.496,8.284,3.563,2.782,8.158
MCZ6927mesohippusbarbouri_3digits_bonejtrimmed.tif,5,28,32.391,54.324,39.203,1.8,54.324,39.203,-0.654,3.322,8.288,88.466,472.031,1.998,56.95,26.631,67.507,2.565,6.114,0.521,37.325,1.438,0.686,0.418,5.445,0.733,459.217,101.28,55.51,28.635,8.273,3.537,2.968,5.81
MCZ6927mesohippusbarbouri_3digits_bonejtrimmed.tif,5,29,30.152,54.297,39.149,1.8,54.297,39.149,-0.635,3.272,8.176,77.32,464.235,1.769,56.783,23.632,66.137,0.709,1.362,1.158,3.557,1.258,0.609,0.338,5.445,0.733,448.587,92.968,55.142,26.449,8.135,3.515,0.713,1.293
MCZ6927mesohippusbarbouri_3digits_bonejtrimmed.tif,5,30,27.725,54.361,39.079,1.8,54.361,39.079,-0.628,3.272,7.97,69.439,436.87,1.593,54.816,21.224,63.2,1.852,6.122,0.595,26.822,1.125,0.543,0.279,5.445,0.733,420.881,85.428,52.691,23.946,7.988,3.567,2.278,5.943
MCZ6927mesohippusbarbouri_3digits_bonejtrimmed.tif,5,31,24.64,54.493,39.03,1.8,54.493,39.03,-0.648,3.347,7.796,57.768,376.92,1.495,48.351,17.26,55.72,1.816,5.13,0.491,20.234,1.103,0.581,0.304,5.445,0.733,365.536,69.152,47.185,18.733,7.747,3.691,2.226,4.836
MCZ6927mesohippusbarbouri_3digits_bonejtrimmed.tif,5,32,19.487,54.762,38.897,1.8,54.762,38.897,-0.693,3.467,7.268,46.54,222.31,1.324,30.589,13.423,36.739,0.546,1.014,1.176,2.499,1.438,0.6,0.381,5.445,0.733,218.629,50.221,29.88,13.129,7.317,3.825,0.655,0.957
MCZ6927mesohippusbarbouri_3digits_bonejtrimmed.tif,5,33,13.671,54.649,38.793,1.8,54.649,38.793,-0.583,3.247,6.802,33.962,114.878,0.691,16.888,10.46,21.286,0.165,0.331,2.356,0.662,1.342,0.522,0.341,5.445,0.733,109.742,39.099,15.698,10.733,6.991,3.643,0.33,0.168
