Label,Bone Code,Slice,CSA (mm²),X cent. (mm),Y cent. (mm),Density,wX cent. (mm),wY cent. (mm),Theta (rad),R1 (mm),R2 (mm),Imin (mm^4),Imax (mm^4),Ipm (mm^4),Zmax (mm³),Zmin (mm³),Zpol (mm³),Feret Min (mm),Feret Max (mm),Feret Angle (rad),Perimeter (mm),Max Thick 2D (mm),Mean Thick 2D (mm),SD Thick 2D (mm),A (rad),M (rad),IAP(mm^4),IML(mm^4),ZAP(mm³),ZML(mm³),RAP(mm),RML(mm),DAP(mm),DML(mm)
MCZarchaeohippusblackbergi_bonejtrimmed.tif,5,152,34.204,84.014,109.367,1.8,84.014,109.367,-0.248,3.91,4.629,138.432,185.375,0.344,40.048,35.409,69.645,7.256,8.707,2.971,26.097,2.559,2.022,0.42,3.176,4.747,181.706,142.102,39.672,36.43,4.58,3.901,7.667,8.626
MCZarchaeohippusblackbergi_bonejtrimmed.tif,5,153,34.271,84.014,109.375,1.8,84.014,109.375,-0.242,3.899,4.633,138.583,185.646,0.329,40.07,35.544,69.718,7.256,8.707,2.971,26.143,2.596,2.027,0.429,3.176,4.747,182.109,142.12,39.762,36.391,4.58,3.905,7.667,8.626
MCZarchaeohippusblackbergi_bonejtrimmed.tif,5,154,34.271,84.022,109.378,1.8,84.022,109.378,-0.238,3.887,4.627,138.083,185.224,0.318,40.031,35.527,69.641,7.256,8.727,3.016,26.162,2.596,2.025,0.445,3.176,4.747,181.784,141.523,39.767,36.816,4.571,3.844,7.605,8.691
MCZarchaeohippusblackbergi_bonejtrimmed.tif,5,155,34.204,84.023,109.397,1.8,84.023,109.397,-0.229,3.907,4.634,136.976,184.955,0.295,39.914,35.055,69.31,7.222,8.707,2.971,26.207,2.652,2.034,0.471,3.176,4.747,181.672,140.259,39.731,36.337,4.573,3.86,7.605,8.666
MCZarchaeohippusblackbergi_bonejtrimmed.tif,5,156,34.296,84.017,109.399,1.8,84.017,109.399,-0.226,3.874,4.642,137.093,185.658,0.286,39.999,35.389,69.388,7.222,8.707,2.971,26.097,2.652,2.047,0.456,3.176,4.747,182.424,140.326,39.84,36.334,4.579,3.862,7.608,8.666
MCZarchaeohippusblackbergi_bonejtrimmed.tif,5,157,34.32,84.013,109.407,1.8,84.013,109.407,-0.225,3.84,4.647,136.776,185.302,0.284,39.872,35.622,69.167,7.222,8.707,2.971,26.078,2.647,2.047,0.456,3.176,4.747,182.097,139.982,39.737,36.862,4.583,3.797,7.535,8.669
MCZarchaeohippusblackbergi_bonejtrimmed.tif,5,158,34.344,84.018,109.409,1.8,84.018,109.409,-0.235,3.823,4.64,136.664,184.557,0.31,39.773,35.749,69.047,7.222,8.694,2.979,26.032,2.647,2.052,0.454,3.176,4.747,181.148,140.074,39.572,36.886,4.578,3.797,7.535,8.661
MCZarchaeohippusblackbergi_bonejtrimmed.tif,5,159,34.289,84.01,109.426,1.8,84.01,109.426,-0.236,3.816,4.652,135.705,183.77,0.312,39.507,35.565,68.516,7.241,8.694,2.979,25.968,2.647,2.063,0.449,3.176,4.747,180.326,139.149,39.329,36.533,4.585,3.809,7.532,8.624
MCZarchaeohippusblackbergi_bonejtrimmed.tif,5,160,34.223,84.011,109.44,1.8,84.011,109.44,-0.235,3.812,4.653,134.764,183.436,0.311,39.42,35.353,68.231,7.221,8.67,2.997,25.968,2.652,2.055,0.447,3.176,4.747,179.956,138.244,39.267,36.805,4.583,3.756,7.522,8.618
MCZarchaeohippusblackbergi_bonejtrimmed.tif,5,161,34.18,84.007,109.457,1.8,84.007,109.457,-0.237,3.806,4.661,134.693,183.088,0.315,39.284,35.39,68.042,7.222,8.67,2.997,25.968,2.652,2.07,0.459,3.176,4.747,179.58,138.201,39.155,36.684,4.586,3.767,7.527,8.618
MCZarchaeohippusblackbergi_bonejtrimmed.tif,5,162,34.149,84.009,109.476,1.8,84.009,109.476,-0.246,3.788,4.661,133.673,182.822,0.336,39.221,35.291,67.738,7.221,8.659,3.006,25.922,2.652,2.087,0.455,3.176,4.747,179.048,137.446,39.057,36.324,4.584,3.784,7.524,8.616
MCZarchaeohippusblackbergi_bonejtrimmed.tif,5,163,34.21,84.012,109.489,1.8,84.012,109.489,-0.249,3.784,4.66,133.443,183.15,0.347,39.303,35.269,67.775,7.233,8.649,3.015,25.922,2.652,2.08,0.448,3.176,4.747,179.236,137.357,39.131,36.23,4.58,3.791,7.524,8.613
MCZarchaeohippusblackbergi_bonejtrimmed.tif,5,164,34.302,84.012,109.499,1.8,84.012,109.499,-0.255,3.812,4.661,133.706,183.01,0.364,39.267,35.076,67.773,7.221,8.64,3.024,25.876,2.652,2.094,0.435,3.176,4.747,178.972,137.745,39.075,36.238,4.58,3.801,7.527,8.61
MCZarchaeohippusblackbergi_bonejtrimmed.tif,5,165,34.326,84.012,109.514,1.8,84.012,109.514,-0.263,3.822,4.661,133.051,183.586,0.387,39.387,34.814,67.724,7.187,8.675,3.079,25.941,2.652,2.099,0.428,3.176,4.747,179.218,137.419,39.115,36.01,4.582,3.816,7.53,8.672
MCZarchaeohippusblackbergi_bonejtrimmed.tif,5,166,34.35,84.008,109.528,1.8,84.008,109.528,-0.267,3.819,4.668,132.221,184.39,0.397,39.505,34.62,67.621,7.184,8.675,0.063,26.051,2.684,2.115,0.448,3.176,4.747,179.782,136.829,39.228,35.729,4.583,3.83,7.589,8.669
MCZarchaeohippusblackbergi_bonejtrimmed.tif,5,167,34.223,84.005,109.545,1.8,84.005,109.545,-0.268,3.835,4.654,131.163,185.17,0.399,39.785,34.203,67.672,7.152,8.686,3.061,26.07,2.67,2.113,0.446,3.176,4.747,180.364,135.97,39.308,35.344,4.588,3.847,7.597,8.677
MCZarchaeohippusblackbergi_bonejtrimmed.tif,5,168,34.18,83.996,109.562,1.8,83.996,109.562,-0.274,3.861,4.685,130.558,185.2,0.418,39.527,33.817,67.177,7.12,8.7,3.043,26.135,2.76,2.146,0.465,3.176,4.747,180.135,135.623,39.19,35.145,4.596,3.859,7.597,8.683
MCZarchaeohippusblackbergi_bonejtrimmed.tif,5,169,34.131,83.996,109.572,1.8,83.996,109.572,-0.286,3.867,4.684,129.639,185.535,0.452,39.609,33.528,67.018,7.098,8.694,0.162,26.006,2.778,2.155,0.469,3.176,4.747,179.974,135.2,39.154,34.944,4.597,3.869,7.6,8.677
MCZarchaeohippusblackbergi_bonejtrimmed.tif,5,170,34.21,84.001,109.583,1.8,84.001,109.583,-0.285,3.857,4.682,129.371,185.763,0.452,39.677,33.546,67.056,7.078,8.694,0.162,25.941,2.778,2.158,0.468,3.176,4.747,180.162,134.972,39.222,35.403,4.593,3.812,7.535,8.677
MCZarchaeohippusblackbergi_bonejtrimmed.tif,5,171,34.271,84.003,109.593,1.8,84.003,109.593,-0.283,3.869,4.694,128.874,186.655,0.444,39.767,33.312,66.63,7.032,8.749,3.088,26.089,2.76,2.152,0.459,3.176,4.747,181.017,134.512,38.862,35.183,4.658,3.823,7.597,8.747
MCZarchaeohippusblackbergi_bonejtrimmed.tif,5,172,34.265,83.991,109.609,1.8,83.991,109.609,-0.279,3.871,4.711,128.09,187.427,0.434,39.781,33.09,66.429,7.006,8.764,3.061,26.024,2.724,2.151,0.432,3.176,4.747,181.751,133.765,38.901,34.869,4.672,3.836,7.6,8.755
MCZarchaeohippusblackbergi_bonejtrimmed.tif,5,173,34.302,83.991,109.613,1.8,83.991,109.613,-0.285,3.883,4.731,128.034,188.024,0.451,39.742,32.972,66.361,7.005,8.771,3.053,26.024,2.652,2.14,0.411,3.176,4.747,182.092,133.966,38.976,34.91,4.672,3.838,7.6,8.758
MCZarchaeohippusblackbergi_bonejtrimmed.tif,5,174,34.247,83.987,109.627,1.8,83.987,109.627,-0.288,3.85,4.715,126.854,187.537,0.459,39.771,32.945,66.097,6.981,8.82,3.106,26.089,2.729,2.128,0.433,3.176,4.747,181.431,132.961,38.805,34.564,4.675,3.847,7.597,8.82
MCZarchaeohippusblackbergi_bonejtrimmed.tif,5,175,34.265,83.991,109.647,1.8,83.991,109.647,-0.291,3.816,4.715,125.379,187.429,0.47,39.749,32.86,65.772,6.981,8.823,3.097,25.979,2.729,2.161,0.442,3.176,4.747,181.055,131.754,38.76,34.757,4.671,3.791,7.524,8.822
MCZarchaeohippusblackbergi_bonejtrimmed.tif,5,176,34.338,83.99,109.664,1.8,83.99,109.664,-0.295,3.8,4.719,124.68,188.823,0.484,40.017,32.808,65.867,6.959,8.826,0.053,25.979,2.76,2.173,0.451,3.176,4.747,182.08,131.422,39,34.539,4.669,3.805,7.524,8.822
MCZarchaeohippusblackbergi_bonejtrimmed.tif,5,177,34.362,83.996,109.679,1.8,83.996,109.679,-0.301,3.768,4.691,123.344,189.917,0.504,40.488,32.738,66.03,6.942,8.836,0.071,25.979,2.76,2.187,0.458,3.176,4.747,182.666,130.595,39.153,34.851,4.665,3.747,7.454,8.822
MCZarchaeohippusblackbergi_bonejtrimmed.tif,5,178,34.502,84.003,109.681,1.8,84.003,109.681,-0.307,3.769,4.704,123.973,190.025,0.525,40.4,32.89,66.111,6.949,8.842,0.079,25.998,2.693,2.162,0.434,3.176,4.747,182.59,131.408,39.201,35.071,4.658,3.747,7.454,8.817
