PercentOfBone,A,normA,IAP,IML,normIAP,normIML
0.413489736070381,7.200432,2.6833620702395,7.78294,3.9539,1.67026707653294,1.41012112985101
0.414956011730205,6.922996,2.63115868012554,7.44998,3.70418,1.65210930300397,1.38730841514362
0.416422287390029,7.206884,2.68456402419462,7.74132,4.162,1.66802960724205,1.42832000506189
0.417888563049853,7.381088,2.71681578322859,7.9078,4.32848,1.6769260806345,1.44239382275379
0.419354838709677,7.406896,2.72156131659752,7.94942,4.3701,1.67912822074359,1.44584868300369
0.420821114369501,7.381088,2.71681578322859,7.9078,4.3701,1.6769260806345,1.44584868300369
0.422287390029326,7.381088,2.71681578322859,7.94942,4.3701,1.67912822074359,1.44584868300369
0.42375366568915,7.393992,2.71918958515216,7.99104,4.3701,1.68132173060673,1.44584868300369
0.425219941348974,7.35528,2.71206194619518,7.94942,4.3701,1.67912822074359,1.44584868300369
0.426686217008798,7.342376,2.70968190014991,7.99104,4.32848,1.68132173060673,1.44239382275379
0.428152492668622,7.361732,2.71325118630767,8.07428,4.28686,1.68568317251217,1.438913957061
0.429618768328446,7.29076,2.70014073707279,7.99104,4.24524,1.68132173060673,1.43540865951165
0.43108504398827,7.232692,2.68936646814821,7.99104,4.20362,1.68132173060673,1.43187749215273
0.432551319648094,7.16172,2.67613900984235,7.99104,4.162,1.68132173060673,1.42832000506189
0.434017595307918,7.219788,2.68696631910413,8.03266,4.20362,1.6835066887323,1.43187749215273
0.435483870967742,7.303664,2.70252918578135,8.03266,4.24524,1.6835066887323,1.43540865951165
0.436950146627566,7.335924,2.70849109284118,8.07428,4.24524,1.68568317251217,1.43540865951165
0.43841642228739,7.284308,2.69894572009146,7.99104,4.162,1.68132173060673,1.42832000506189
0.439882697947214,7.32302,2.70610790620034,8.03266,4.24524,1.6835066887323,1.43540865951165
0.441348973607038,7.32302,2.70610790620034,8.03266,4.28686,1.6835066887323,1.438913957061
0.442815249266862,7.310116,2.70372261890897,8.03266,4.28686,1.6835066887323,1.438913957061
0.444281524926686,7.29076,2.70014073707279,8.03266,4.28686,1.6835066887323,1.438913957061
0.44574780058651,7.277856,2.6977501737559,7.99104,4.24524,1.68132173060673,1.43540865951165
0.447214076246334,7.277856,2.6977501737559,7.99104,4.28686,1.68132173060673,1.438913957061
0.448680351906158,7.264952,2.69535749020422,7.99104,4.28686,1.68132173060673,1.438913957061
0.450146627565982,7.245596,2.69176447706704,7.99104,4.24524,1.68132173060673,1.43540865951165
0.451612903225806,7.22624,2.68816666149999,7.99104,4.24524,1.68132173060673,1.43540865951165
0.45307917888563,7.22624,2.68816666149999,7.94942,4.24524,1.67912822074359,1.43540865951165
0.454545454545455,7.206884,2.68456402419462,7.94942,4.24524,1.67912822074359,1.43540865951165
0.456011730205279,7.187528,2.68095654571274,7.94942,4.24524,1.67912822074359,1.43540865951165
0.457478005865103,7.19398,2.6821595776538,7.94942,4.24524,1.67912822074359,1.43540865951165
0.458944281524927,7.19398,2.6821595776538,7.94942,4.24524,1.67912822074359,1.43540865951165
0.460410557184751,7.174624,2.67854886085731,7.94942,4.24524,1.67912822074359,1.43540865951165
0.461876832844575,7.174624,2.67854886085731,7.94942,4.24524,1.67912822074359,1.43540865951165
0.463343108504399,7.16172,2.67613900984235,7.99104,4.24524,1.68132173060673,1.43540865951165
0.464809384164223,7.16172,2.67613900984235,7.99104,4.24524,1.68132173060673,1.43540865951165
0.466275659824047,7.181076,2.67975297368993,8.03266,4.28686,1.6835066887323,1.438913957061
0.467741935483871,7.181076,2.67975297368993,8.03266,4.28686,1.6835066887323,1.438913957061
0.469208211143695,7.200432,2.6833620702395,8.03266,4.32848,1.6835066887323,1.44239382275379
0.470674486803519,7.206884,2.68456402419462,8.03266,4.41172,1.6835066887323,1.44927895309579
0.472140762463343,7.219788,2.68696631910413,8.03266,4.45334,1.6835066887323,1.45268503757882
0.473607038123167,7.239144,2.69056573976552,8.07428,4.49496,1.68568317251217,1.45606733064025
0.475073313782991,7.252048,2.6929626807663,8.07428,4.53658,1.68568317251217,1.45942621646471
0.476539589442815,7.271404,2.69655409736204,8.1159,4.53658,1.68785125824329,1.45942621646471
0.478005865102639,7.29076,2.70014073707279,8.15752,4.5782,1.69001102114868,1.46276206957704
